Unnamed: 0,NOS Title
pplrec10  contribute to safe working practices in the rail engineering industry.pdf,contribute to safe working practices in the rail engineering industry
pplreep07  carry out installation of electrification and plant assets.pdf,carry out installation of electrification and plant assets
pplreep08  plan electrification and plant engineering activities.pdf,plan electrification and plant engineering activities
pplreep09  transfer responsibility of electrification and plant equipment and components.pdf,transfer responsibility of electrification and plant equipment and components
pplreep10  assist in preparing resources for electrification and plant engineering activities.pdf,assist in preparing resources for electrification and plant engineering activities
pplreep11  allocate and monitor resources for electrification and plant engineering activities.pdf,allocate and monitor resources for electrification and plant engineering activities
pplreep13  carry out technical assessment of electrification and plant.pdf,carry out technical assessment of electrification and plant
pplreep15  isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry.pdf,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry
group 1108,assist in preventative and corrective maintenance of traction cabling systems;carry out maintenance on electrification and plant equipment and components;carry out maintenance on electrification and plant assets;carry out preventative and corrective maintenance of traction cabling systems ;carry out installation of electrification and plant equipment and components
group 1109,establish the operational condition of electrification and plant assets;restore the contact systems to operational condition in the rail engineering industry 
